Tiempo: 0.0, Theta: 1.0, dTheta: 0.0
Tiempo: 0.01001001001001001, Theta: 0.9999499169805524, dTheta: -0.010004834583060397
Tiempo: 0.02002002002002002, Theta: 0.999799739682516, dTheta: -0.01999865787809095
Tiempo: 0.03003003003003003, Theta: 0.9995495832977482, dTheta: -0.02998048011278547
Tiempo: 0.04004004004004004, Theta: 0.9991995730237461, dTheta: -0.039949312842768744
Tiempo: 0.050050050050050046, Theta: 0.9987498438548028, dTheta: -0.049904170311466545
Tiempo: 0.06006006006006006, Theta: 0.9982005405807814, dTheta: -0.05984406945853366
Tiempo: 0.07007007007007007, Theta: 0.9975518177871153, dTheta: -0.06976802991985381
Tiempo: 0.08008008008008008, Theta: 0.9968038398548075, dTheta: -0.07967507402753979
Tiempo: 0.09009009009009009, Theta: 0.995956780960431, dTheta: -0.08956422680993326
Tiempo: 0.10010010010010009, Theta: 0.9950108250761289, dTheta: -0.09943451599160505
Tiempo: 0.11011011011011011, Theta: 0.9939661659696144, dTheta: -0.10928497199335477
Tiempo: 0.12012012012012012, Theta: 0.9928230393180091, dTheta: -0.11911482666154365
Tiempo: 0.13013013013013014, Theta: 0.99158170192128, dTheta: -0.12892334686357523
Tiempo: 0.14014014014014015, Theta: 0.9902423768752534, dTheta: -0.1387095166460801
Tiempo: 0.15015015015015015, Theta: 0.9888052958509803, dTheta: -0.14847232521702303
Tiempo: 0.16016016016016016, Theta: 0.9872706993225143, dTheta: -0.1582107684222559
Tiempo: 0.17017017017017017, Theta: 0.9856388365669113, dTheta: -0.1679238487455178
Tiempo: 0.18018018018018017, Theta: 0.9839099656642296, dTheta: -0.1776105753084351
Tiempo: 0.19019019019019018, Theta: 0.9820843534975296, dTheta: -0.1872699638705212
Tiempo: 0.20020020020020018, Theta: 0.9801622757528746, dTheta: -0.19690103682917676
Tiempo: 0.21021021021021022, Theta: 0.97814401691933, dTheta: -0.20650282321968969
Tiempo: 0.22022022022022023, Theta: 0.9760298702889633, dTheta: -0.21607435871523492
Tiempo: 0.23023023023023023, Theta: 0.9738201379568449, dTheta: -0.2256146856268748
Tiempo: 0.24024024024024024, Theta: 0.9715151308210472, dTheta: -0.2351228529035586
Tiempo: 0.2502502502502503, Theta: 0.9691151685826452, dTheta: -0.2445979161321231
Tiempo: 0.2602602602602603, Theta: 0.9666205797457161, dTheta: -0.2540389375372919
Tiempo: 0.2702702702702703, Theta: 0.9640317016173398, dTheta: -0.263444985981676
Tiempo: 0.2802802802802803, Theta: 0.961348880307598, dTheta: -0.27281513696577353
Tiempo: 0.2902902902902903, Theta: 0.9585724707295754, dTheta: -0.28214847262797
Tiempo: 0.3003003003003003, Theta: 0.9557028365993586, dTheta: -0.29144408174453773
Tiempo: 0.3103103103103103, Theta: 0.952740350436037, dTheta: -0.3007010597296366
Tiempo: 0.3203203203203203, Theta: 0.949685393561702, dTheta: -0.30991850863531345
Tiempo: 0.3303303303303303, Theta: 0.9465383561014475, dTheta: -0.3190955371515023
Tiempo: 0.34034034034034033, Theta: 0.94329963698337, dTheta: -0.3282312606060245
Tiempo: 0.35035035035035034, Theta: 0.9399696439385681, dTheta: -0.3373248009645885
Tiempo: 0.36036036036036034, Theta: 0.9365487935011428, dTheta: -0.3463752868307899
Tiempo: 0.37037037037037035, Theta: 0.9330375110081977, dTheta: -0.35538185344611156
Tiempo: 0.38038038038038036, Theta: 0.9294362305998385, dTheta: -0.3643436426899236
Tiempo: 0.39039039039039036, Theta: 0.9257453952191734, dTheta: -0.37325980307948303
Tiempo: 0.40040040040040037, Theta: 0.9219654566123131, dTheta: -0.3821294897699343
Tiempo: 0.41041041041041043, Theta: 0.9180968753283705, dTheta: -0.3909518645543092
Tiempo: 0.42042042042042044, Theta: 0.9141401207194609, dTheta: -0.39972609586352625
Tiempo: 0.43043043043043044, Theta: 0.9100956709407022, dTheta: -0.4084513587663915
Tiempo: 0.44044044044044045, Theta: 0.9059640129502142, dTheta: -0.4171268349695981
Tiempo: 0.45045045045045046, Theta: 0.9017456425091197, dTheta: -0.4257517128177263
Tiempo: 0.46046046046046046, Theta: 0.8974410641815433, dTheta: -0.43432518729324376
Tiempo: 0.47047047047047047, Theta: 0.8930507913346125, dTheta: -0.44284646001650496
Tiempo: 0.4804804804804805, Theta: 0.8885753461384567, dTheta: -0.45131473924575194
Tiempo: 0.4904904904904905, Theta: 0.8840152595662079, dTheta: -0.4597292398771138
Tiempo: 0.5005005005005005, Theta: 0.8793710713940005, dTheta: -0.4680891834446067
Tiempo: 0.5105105105105106, Theta: 0.8746433302009713, dTheta: -0.47639379812013405
Tiempo: 0.5205205205205206, Theta: 0.8698325933692594, dTheta: -0.4846423187134866
Tiempo: 0.5305305305305306, Theta: 0.8649394270840063, dTheta: -0.49283398667234224
Tiempo: 0.5405405405405406, Theta: 0.8599644063333559, dTheta: -0.5009680500822659
Tiempo: 0.5505505505505506, Theta: 0.8549081149084544, dTheta: -0.5090437636667096
Tiempo: 0.5605605605605606, Theta: 0.8497711454034506, dTheta: -0.5170603887870128
Tiempo: 0.5705705705705706, Theta: 0.8445540992154953, dTheta: -0.5250171934424022
Tiempo: 0.5805805805805806, Theta: 0.839257586544742, dTheta: -0.5329134522699914
Tiempo: 0.5905905905905906, Theta: 0.8338822263943464, dTheta: -0.5407484465447816
Tiempo: 0.6006006006006006, Theta: 0.8284286465704669, dTheta: -0.5485214641796605
Tiempo: 0.6106106106106106, Theta: 0.8228974836822638, dTheta: -0.5562317997254038
Tiempo: 0.6206206206206206, Theta: 0.8172893831419, dTheta: -0.5638787543706738
Tiempo: 0.6306306306306306, Theta: 0.811604999164541, dTheta: -0.5714616359420202
Tiempo: 0.6406406406406406, Theta: 0.8058449947683543, dTheta: -0.57897975890388
Tiempo: 0.6506506506506506, Theta: 0.8000100417745099, dTheta: -0.5864324443585771
